id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,trip_duration_sec,trip_distance_km,trip_speed_kmh,idle_time_sec,trip_efficiency
id3095891,1,2016-02-02 16:38:11+00:00,2016-02-02 16:42:39+00:00,1,-73.793961,40.65649,-73.977463,40.772568,N,268,268.0,20.144326919067073,270.59543622627416,,1.0
id1146400,1,2016-02-15 18:57:32+00:00,2016-02-15 19:02:35+00:00,2,-73.989914,40.756634,-70.346077,36.398121,N,303,303.0,578.8428295683906,6877.340549327413,,1.0
id0978162,1,2016-02-24 16:20:59+00:00,2016-02-24 16:35:34+00:00,4,-75.354332,34.712234,-73.834923,32.181141,N,875,875.0,314.76413650432477,1295.0295901892218,,1.0
id1001696,1,2016-02-24 21:02:32+00:00,2016-02-24 21:25:57+00:00,1,-73.972366,40.758633,-79.553535,43.674,N,1405,1405.0,562.2351698146949,1440.6025703437024,,1.0
id0838705,1,2016-02-26 19:50:03+00:00,2016-02-26 20:08:54+00:00,1,-66.97216,44.371944,-69.048019,43.147583,N,1131,1131.0,215.22653912958717,685.0712120835666,,1.0
id2140940,1,2016-03-05 09:35:24+00:00,2016-03-05 09:41:19+00:00,1,-73.995918,40.6245,-73.990944,40.752445,N,355,355.0,14.233014924568952,144.33479923506545,,1.0
id2487275,1,2016-03-20 11:47:20+00:00,2016-03-20 11:49:21+00:00,2,-73.792923,40.662743,-73.987946,40.759075,N,121,121.0,19.619954872764147,583.7341945615779,,1.0
id1723416,1,2016-03-20 21:07:56+00:00,2016-03-20 21:12:35+00:00,1,-78.547401,40.817131,-79.786133,40.917637,N,279,279.0,104.76002415669346,1351.7422471831414,,1.0
id0116374,1,2016-04-02 20:33:19+00:00,2016-04-02 20:38:01+00:00,1,-74.007095,40.717113,-76.963242,38.946033,N,282,282.0,320.1258263094789,4086.71267629122,,1.0
id3498208,1,2016-04-04 18:10:45+00:00,2016-04-04 18:20:23+00:00,1,-73.794579,40.657295,-73.982002,40.768547,N,578,578.0,20.06420848367974,124.96738847966618,,1.0
id3847070,1,2016-04-05 14:24:17+00:00,2016-04-05 14:33:28+00:00,1,-73.79467,40.657001,-73.979027,40.77224,N,551,551.0,20.140204336710454,131.58754194583963,,1.0
id0871663,1,2016-04-15 11:58:06+00:00,2016-04-15 12:06:07+00:00,1,-73.793633,40.657513,-73.974457,40.760765,N,481,481.0,19.081890969943032,142.8166475920892,,1.0
id0456393,1,2016-04-27 06:59:15+00:00,2016-04-27 07:03:40+00:00,1,-73.979668,40.748005,-73.865097,40.683315,N,265,265.0,12.040896461632707,163.57444249765186,,1.0
id0982904,1,2016-04-28 13:32:14+00:00,2016-04-28 14:14:09+00:00,2,-73.870682,40.773598,-79.817978,38.963852,N,2515,2515.0,545.853494961745,781.340986823969,,1.0
id2644780,1,2016-05-03 16:24:07+00:00,2016-05-03 17:18:34+00:00,2,-73.991325,40.750023,-79.518616,43.921028,N,3267,3267.0,574.8754680989697,633.4715901917021,,1.0
id3626673,1,2016-05-05 18:02:50+00:00,2016-05-05 18:18:23+00:00,1,-73.978912,40.756763,-79.338699,41.427902,N,933,933.0,455.24121198281614,1756.5577311234065,,1.0
id3628988,1,2016-05-05 18:21:37+00:00,2016-05-05 18:30:45+00:00,1,-79.569733,41.586273,-80.355431,42.090183,N,548,548.0,85.88487569076575,564.2072125670743,,1.0
id2306955,1,2016-05-07 18:58:53+00:00,2016-05-07 19:12:05+00:00,1,-72.809669,51.881084,-73.987228,40.750599,N,792,792.0,1240.9086179379826,5640.493717899921,,1.0
id1700015,1,2016-05-11 08:52:15+00:00,2016-05-11 08:56:17+00:00,1,-73.828598,40.714401,-73.954544,40.783775,N,242,242.0,13.117466906079562,195.13587133010918,,1.0
id1724402,1,2016-05-17 06:34:59+00:00,2016-05-17 06:36:27+00:00,1,-73.969231,40.798122,-73.99926,40.753773,N,88,88.0,5.541863126209495,226.71258243584296,,1.0
id3383233,1,2016-06-10 04:52:20+00:00,2016-06-10 04:52:58+00:00,4,-73.971321,40.745731,-73.95253,40.741192,N,38,38.0,1.6615703081235507,157.41192392749426,,1.0
id3468323,1,2016-06-27 18:37:21+00:00,2016-06-27 18:43:16+00:00,1,-73.881195,40.882942,-73.965141,40.762486,N,355,355.0,15.142553909745265,153.55829316924778,,1.0
id3608848,1,2016-06-29 16:13:35+00:00,2016-06-29 16:16:22+00:00,1,-73.969231,40.756851,-73.867043,40.770683,Y,167,167.0,8.742620807639641,188.46368208085454,,1.0
id2025651,2,2016-01-01 00:41:17+00:00,2016-01-01 00:45:25+00:00,1,-73.819862,40.767376,-73.955666,40.769283,N,248,248.0,11.43858406642725,166.0439622545891,,1.0
id1488553,2,2016-01-01 01:15:20+00:00,2016-01-01 01:17:04+00:00,8,-73.992653,40.768719,-74.041374,40.729954,N,104,104.0,5.951838030327779,206.02516258826927,,1.0
id1644758,2,2016-01-03 14:41:12+00:00,2016-01-03 14:44:19+00:00,1,-73.999992,40.68961,-73.965492,40.80603,N,187,187.0,13.267540122877168,255.41788471849094,,1.0
id2943073,2,2016-01-03 16:55:44+00:00,2016-01-03 16:55:45+00:00,1,-73.975677,40.785488,-73.976372,40.785831,N,1,1.0,0.06984616818308448,251.44620545910414,,1.0
id0498762,2,2016-01-04 23:46:25+00:00,2016-01-04 23:49:29+00:00,1,-73.790382,40.64397,-73.945183,40.800091,N,184,184.0,21.71520006812638,424.8626100285596,,1.0
id3896087,2,2016-01-06 08:04:02+00:00,2016-01-06 08:04:09+00:00,1,-73.995827,40.667767,-73.997627,40.670475,N,7,7.0,0.33722027393864423,173.4275694541599,,1.0
id1510552,2,2016-01-06 20:40:52+00:00,2016-01-06 20:51:03+00:00,5,-71.799896,35.081532,-79.352837,40.436329,N,611,611.0,891.214115583809,5251.016065632917,,1.0
id0342213,2,2016-01-11 14:05:10+00:00,2016-01-11 14:05:13+00:00,1,-73.99456,40.750599,-73.99353,40.751732,N,3,3.0,0.15296975600394158,183.5637072047299,,1.0
id0267475,2,2016-01-13 00:25:32+00:00,2016-01-13 00:25:44+00:00,1,-73.962646,40.760399,-73.953773,40.756439,N,12,12.0,0.8674184283456384,260.2255285036915,,1.0
id0233899,2,2016-01-15 03:32:36+00:00,2016-01-15 03:32:43+00:00,1,-73.990303,40.772247,-73.988586,40.774181,N,7,7.0,0.2591365916329535,133.27024712551895,,1.0
id2323662,2,2016-01-15 06:00:46+00:00,2016-01-15 06:01:18+00:00,1,-74.001053,40.731586,-73.994705,40.740417,N,32,32.0,1.1181754046280332,125.79473302065374,,1.0
id1389227,2,2016-01-17 03:11:56+00:00,2016-01-17 03:12:00+00:00,5,-73.998352,40.70853,-73.986382,40.710381,N,4,4.0,1.0297157526615732,926.7441773954159,,1.0
id1081004,2,2016-01-17 05:19:08+00:00,2016-01-17 05:19:12+00:00,1,-73.989983,40.74305,-73.991707,40.743771,N,4,4.0,0.16589764548814342,149.3078809393291,,1.0
id0092710,2,2016-01-17 13:35:16+00:00,2016-01-17 13:35:22+00:00,1,-73.973549,40.769207,-73.970459,40.768124,N,6,6.0,0.2867344402016192,172.0406641209715,,1.0
id2778014,2,2016-01-17 16:43:09+00:00,2016-01-17 16:50:16+00:00,1,-73.997086,40.728924,-72.67115,40.61422,N,427,427.0,112.54892280347353,948.8902156733132,,1.0
id1656254,2,2016-01-18 00:35:38+00:00,2016-01-18 00:35:54+00:00,1,-73.805527,40.65136,-73.80423,40.661629,N,16,16.0,1.1470903510892607,258.09532899508366,,1.0
id1269886,2,2016-01-18 15:43:59+00:00,2016-01-18 15:44:05+00:00,1,-73.996964,40.747131,-73.994034,40.745911,N,6,6.0,0.2816510653848458,168.99063923090748,,1.0
id2700498,2,2016-01-18 18:19:50+00:00,2016-01-18 18:20:06+00:00,1,-74.393555,40.785603,-74.398514,40.781822,N,16,16.0,0.5925232246707028,133.31772555090814,,1.0
id1992999,2,2016-01-18 23:15:34+00:00,2016-01-18 23:15:37+00:00,1,-73.987083,40.757889,-73.98822,40.759033,N,3,3.0,0.1592252877501537,191.07034530018444,,1.0
id0578768,2,2016-01-21 00:22:21+00:00,2016-01-21 00:22:36+00:00,1,-73.995796,40.726521,-73.956528,40.733551,N,15,15.0,3.3999099689235623,815.978392541655,,1.0
id1083093,2,2016-01-22 23:47:21+00:00,2016-01-22 23:47:24+00:00,2,-73.784416,40.648624,-73.78566,40.646393,N,3,3.0,0.26936351428919864,323.23621714703836,,1.0
id1027875,2,2016-01-26 23:57:26+00:00,2016-01-26 23:57:30+00:00,1,-73.790047,40.646549,-73.791328,40.645699,N,4,4.0,0.143574861047537,129.2173749427833,,1.0
id2507444,2,2016-01-27 09:03:12+00:00,2016-01-27 09:03:22+00:00,1,-73.807419,40.657215,-73.783249,40.643806,N,10,10.0,2.5260419128222846,909.3750886160225,,1.0
